dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,random_updated_r2_mean,random_updated_r2_std,random_updated_r2_se,random_delta_r2_mean,random_delta_r2_se,poprisk_dists_from_all_urban_areas_0.5_updated_r2_mean,poprisk_dists_from_all_urban_areas_0.5_updated_r2_std,poprisk_dists_from_all_urban_areas_0.5_updated_r2_se,poprisk_dists_from_all_urban_areas_0.5_delta_r2_mean,poprisk_dists_from_all_urban_areas_0.5_delta_r2_se
USAVARS_POP,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,100,600,10.0,0.5,0.0,2.7755575615628914e-17,0.5,0.01,0.005978678783811681,0.0,0.005978678783811681,0.49,0.02,0.008775135326591833,-0.0,0.008775135326591833
USAVARS_POP,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,200,600,10.0,0.5,0.0,2.7755575615628914e-17,0.49,0.03,0.016350736986448035,-0.01,0.016350736986448032,0.5,0.01,0.0029287198568657947,0.0,0.0029287198568657942
USAVARS_POP,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,300,600,10.0,0.5,0.0,2.7755575615628914e-17,0.51,0.01,0.005177509053589383,0.01,0.005177509053589382,0.5,0.01,0.004845472113220758,0.0,0.004845472113220758
USAVARS_POP,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,400,600,10.0,0.5,0.0,2.7755575615628914e-17,0.51,0.01,0.006149097494754815,0.01,0.006149097494754815,0.49,0.01,0.003926652518367272,-0.0,0.003926652518367272
USAVARS_POP,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,500,600,10.0,0.5,0.0,2.7755575615628914e-17,0.52,0.01,0.005182528340491738,0.02,0.005182528340491738,0.49,0.02,0.009266898078645301,-0.0,0.009266898078645301
USAVARS_POP,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,600,600,10.0,0.5,0.0,2.7755575615628914e-17,0.52,0.01,0.005620462614411736,0.02,0.005620462614411736,0.5,0.02,0.008999688883511476,-0.0,0.008999688883511478
USAVARS_POP,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,700,600,10.0,0.5,0.0,2.7755575615628914e-17,0.52,0.01,0.0055677284416537414,0.02,0.0055677284416537414,0.5,0.03,0.015394836796796513,0.0,0.015394836796796516
USAVARS_POP,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,800,600,10.0,0.5,0.0,2.7755575615628914e-17,0.52,0.01,0.005230831673835436,0.02,0.005230831673835436,0.5,0.01,0.0029711950457686227,0.0,0.0029711950457686227
USAVARS_POP,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,900,600,10.0,0.5,0.0,2.7755575615628914e-17,0.52,0.01,0.004472292477018926,0.03,0.004472292477018925,0.53,0.01,0.0050017396973453115,0.03,0.0050017396973453115
USAVARS_POP,5_fixedstrata_10ppc_600_size,cluster_based_c1_10_c2_20,1000,600,10.0,0.5,0.0,2.7755575615628914e-17,0.51,0.03,0.013860180374006683,0.01,0.013860180374006683,0.51,0.02,0.010075197268540198,0.01,0.010075197268540196
