dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,random_updated_r2_mean,random_updated_r2_std,random_updated_r2_se,random_delta_r2_mean,random_delta_r2_se,poprisk_nlcd_0.5_updated_r2_mean,poprisk_nlcd_0.5_updated_r2_std,poprisk_nlcd_0.5_updated_r2_se,poprisk_nlcd_0.5_delta_r2_mean,poprisk_nlcd_0.5_delta_r2_se
USAVARS_TC,5_fixedstrata_10ppc_1500_size,cluster_based_c1_10_c2_20,100,1500,10.0,0.78,0.0,0.0,0.78,0.01,0.0026577434037167607,0.0,0.0026577434037167603,0.82,0.0,0.0016722440013347212,0.04,0.001672244001334721
USAVARS_TC,5_fixedstrata_10ppc_1500_size,cluster_based_c1_10_c2_20,200,1500,10.0,0.78,0.0,0.0,0.79,0.0,0.002186641260014994,0.01,0.002186641260014994,0.82,0.0,0.0009838699100999063,0.04,0.0009838699100999063
USAVARS_TC,5_fixedstrata_10ppc_1500_size,cluster_based_c1_10_c2_20,300,1500,10.0,0.78,0.0,0.0,0.79,0.01,0.0036778526343506555,0.01,0.0036778526343506563,0.82,0.0,0.0010249878048054968,0.04,0.0010249878048054968
USAVARS_TC,5_fixedstrata_10ppc_1500_size,cluster_based_c1_10_c2_20,400,1500,10.0,0.78,0.0,0.0,0.79,0.01,0.005666162722689861,0.01,0.005666162722689862,0.83,0.0,0.0008028698524667632,0.05,0.0008028698524667632
USAVARS_TC,5_fixedstrata_10ppc_1500_size,cluster_based_c1_10_c2_20,500,1500,10.0,0.78,0.0,0.0,0.79,0.01,0.006358977905292643,0.01,0.006358977905292643,0.83,0.0,0.0021048990474604834,0.05,0.002104899047460484
USAVARS_TC,5_fixedstrata_10ppc_1500_size,cluster_based_c1_10_c2_20,600,1500,10.0,0.78,0.0,0.0,0.79,0.01,0.0060269727060938165,0.01,0.0060269727060938165,0.83,0.0,0.0017909215504873389,0.05,0.0017909215504873389
USAVARS_TC,5_fixedstrata_10ppc_1500_size,cluster_based_c1_10_c2_20,700,1500,10.0,0.78,0.0,0.0,0.8,0.01,0.005960419448327454,0.02,0.005960419448327455,0.83,0.0,0.0016429850881855164,0.05,0.0016429850881855164
USAVARS_TC,5_fixedstrata_10ppc_1500_size,cluster_based_c1_10_c2_20,800,1500,10.0,0.78,0.0,0.0,0.8,0.01,0.005399351812949409,0.02,0.00539935181294941,0.84,0.0,0.0015081114017207156,0.05,0.0015081114017207156
USAVARS_TC,5_fixedstrata_10ppc_1500_size,cluster_based_c1_10_c2_20,900,1500,10.0,0.78,0.0,0.0,0.8,0.01,0.004896876555519859,0.02,0.004896876555519859,0.84,0.0,0.0014461673485458145,0.06,0.0014461673485458145
USAVARS_TC,5_fixedstrata_10ppc_1500_size,cluster_based_c1_10_c2_20,1000,1500,10.0,0.78,0.0,0.0,0.81,0.01,0.0037198924715642016,0.03,0.0037198924715642016,0.84,0.0,0.0008109253973085372,0.06,0.0008109253973085373
