dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,random_updated_r2_mean,random_updated_r2_std,random_updated_r2_se,random_delta_r2_mean,random_delta_r2_se,poprisk_nlcd_0.5_updated_r2_mean,poprisk_nlcd_0.5_updated_r2_std,poprisk_nlcd_0.5_updated_r2_se,poprisk_nlcd_0.5_delta_r2_mean,poprisk_nlcd_0.5_delta_r2_se
USAVARS_TC,5_fixedstrata_10ppc_1400_size,cluster_based_c1_10_c2_20,100,1400,10.0,0.78,0.0,0.0,0.79,0.0,0.0018899735447883896,0.01,0.0018899735447883896,0.82,0.0,0.0015190128373387744,0.04,0.0015190128373387744
USAVARS_TC,5_fixedstrata_10ppc_1400_size,cluster_based_c1_10_c2_20,200,1400,10.0,0.78,0.0,0.0,0.8,0.01,0.005082656785579765,0.01,0.005082656785579765,0.82,0.0,0.0017275994906227525,0.04,0.0017275994906227525
USAVARS_TC,5_fixedstrata_10ppc_1400_size,cluster_based_c1_10_c2_20,300,1400,10.0,0.78,0.0,0.0,0.8,0.01,0.005048009508707381,0.02,0.005048009508707381,0.82,0.0,0.0013074402472006104,0.04,0.0013074402472006104
USAVARS_TC,5_fixedstrata_10ppc_1400_size,cluster_based_c1_10_c2_20,400,1400,10.0,0.78,0.0,0.0,0.8,0.01,0.005085705457456217,0.02,0.005085705457456216,0.83,0.0,0.0006715653356152389,0.04,0.0006715653356152388
USAVARS_TC,5_fixedstrata_10ppc_1400_size,cluster_based_c1_10_c2_20,500,1400,10.0,0.78,0.0,0.0,0.81,0.01,0.0058952862525919695,0.02,0.0058952862525919695,0.83,0.0,0.0012596031120952326,0.05,0.0012596031120952326
USAVARS_TC,5_fixedstrata_10ppc_1400_size,cluster_based_c1_10_c2_20,600,1400,10.0,0.78,0.0,0.0,0.81,0.01,0.005938888784949594,0.02,0.005938888784949594,0.83,0.0,0.0014294754282603045,0.05,0.0014294754282603045
USAVARS_TC,5_fixedstrata_10ppc_1400_size,cluster_based_c1_10_c2_20,700,1400,10.0,0.78,0.0,0.0,0.81,0.01,0.005711304579515968,0.03,0.005711304579515968,0.83,0.0,0.0011741379816699615,0.05,0.0011741379816699615
USAVARS_TC,5_fixedstrata_10ppc_1400_size,cluster_based_c1_10_c2_20,800,1400,10.0,0.78,0.0,0.0,0.81,0.01,0.005377787649210411,0.03,0.005377787649210412,0.84,0.0,0.0013082048769210454,0.05,0.0013082048769210454
USAVARS_TC,5_fixedstrata_10ppc_1400_size,cluster_based_c1_10_c2_20,900,1400,10.0,0.78,0.0,0.0,0.81,0.01,0.005525721672324803,0.03,0.005525721672324803,0.84,0.0,0.0010220567498920884,0.06,0.0010220567498920884
USAVARS_TC,5_fixedstrata_10ppc_1400_size,cluster_based_c1_10_c2_20,1000,1400,10.0,0.78,0.0,0.0,0.81,0.01,0.006158051639926383,0.03,0.006158051639926384,0.84,0.0,0.0013230268326832968,0.06,0.0013230268326832968
