dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,random_updated_r2_mean,random_updated_r2_std,random_updated_r2_se,random_delta_r2_mean,random_delta_r2_se,poprisk_nlcd_0.5_updated_r2_mean,poprisk_nlcd_0.5_updated_r2_std,poprisk_nlcd_0.5_updated_r2_se,poprisk_nlcd_0.5_delta_r2_mean,poprisk_nlcd_0.5_delta_r2_se
USAVARS_TC,5_fixedstrata_10ppc_1500_size,cluster_based_c1_10_c2_20,500,1500,10.0,0.78,0.0,0.0,0.79,0.01,0.006358977905292643,0.01,0.006358977905292643,0.83,0.0,0.0021048990474604834,0.05,0.002104899047460484
USAVARS_TC,5_fixedstrata_10ppc_1500_size,cluster_based_c1_10_c2_20,600,1500,10.0,0.78,0.0,0.0,0.79,0.01,0.0060269727060938165,0.01,0.0060269727060938165,0.83,0.0,0.0017909215504873389,0.05,0.0017909215504873389
USAVARS_TC,5_fixedstrata_10ppc_1500_size,cluster_based_c1_10_c2_20,700,1500,10.0,0.78,0.0,0.0,0.8,0.01,0.005960419448327454,0.02,0.005960419448327455,0.83,0.0,0.0016429850881855164,0.05,0.0016429850881855164
USAVARS_TC,5_fixedstrata_10ppc_1500_size,cluster_based_c1_10_c2_20,800,1500,10.0,0.78,0.0,0.0,0.8,0.01,0.005399351812949409,0.02,0.00539935181294941,0.84,0.0,0.0015081114017207156,0.05,0.0015081114017207156
USAVARS_TC,5_fixedstrata_10ppc_1500_size,cluster_based_c1_10_c2_20,900,1500,10.0,0.78,0.0,0.0,0.8,0.01,0.004896876555519859,0.02,0.004896876555519859,0.84,0.0,0.0014461673485458145,0.06,0.0014461673485458145
USAVARS_TC,5_fixedstrata_10ppc_1500_size,cluster_based_c1_10_c2_20,1000,1500,10.0,0.78,0.0,0.0,0.81,0.01,0.0037198924715642016,0.03,0.0037198924715642016,0.84,0.0,0.0008109253973085372,0.06,0.0008109253973085373
USAVARS_TC,5_fixedstrata_10ppc_2000_size,cluster_based_c1_10_c2_20,100,2000,10.0,0.78,0.0,0.0,0.78,0.0,0.00044339598554791375,0.0,0.00044339598554791375,0.82,0.0,0.0019475625792256305,0.04,0.0019475625792256305
USAVARS_TC,5_fixedstrata_10ppc_2000_size,cluster_based_c1_10_c2_20,200,2000,10.0,0.78,0.0,0.0,0.79,0.01,0.0032723691723275947,0.01,0.0032723691723275947,0.82,0.0,0.0013326664999166243,0.04,0.0013326664999166243
USAVARS_TC,5_fixedstrata_10ppc_2000_size,cluster_based_c1_10_c2_20,300,2000,10.0,0.78,0.0,0.0,0.79,0.01,0.0031542986542177592,0.01,0.0031542986542177592,0.82,0.0,0.0019622945752358375,0.04,0.0019622945752358375
USAVARS_TC,5_fixedstrata_10ppc_2000_size,cluster_based_c1_10_c2_20,400,2000,10.0,0.78,0.0,0.0,0.8,0.0,0.0024402868683824925,0.01,0.0024402868683824925,0.83,0.0,0.001000999500499372,0.04,0.001000999500499372
USAVARS_TC,5_fixedstrata_10ppc_2000_size,cluster_based_c1_10_c2_20,500,2000,10.0,0.78,0.0,0.0,0.8,0.0,0.0022762688769124,0.02,0.0022762688769124,0.83,0.0,0.002342349248084065,0.05,0.002342349248084065
USAVARS_TC,5_fixedstrata_10ppc_2000_size,cluster_based_c1_10_c2_20,600,2000,10.0,0.78,0.0,0.0,0.8,0.0,0.0024834653208772517,0.02,0.0024834653208772517,0.83,0.0,0.0009068627239003849,0.05,0.0009068627239003849
USAVARS_TC,5_fixedstrata_10ppc_2000_size,cluster_based_c1_10_c2_20,700,2000,10.0,0.78,0.0,0.0,0.81,0.01,0.003155883394550553,0.02,0.003155883394550553,0.83,0.01,0.0027922392447639536,0.05,0.0027922392447639536
USAVARS_TC,5_fixedstrata_10ppc_2000_size,cluster_based_c1_10_c2_20,800,2000,10.0,0.78,0.0,0.0,0.81,0.01,0.002695848660440705,0.02,0.002695848660440705,0.84,0.0,0.0015479018056711474,0.06,0.0015479018056711474
USAVARS_TC,5_fixedstrata_10ppc_2000_size,cluster_based_c1_10_c2_20,900,2000,10.0,0.78,0.0,0.0,0.81,0.01,0.0026496037439587253,0.03,0.0026496037439587253,0.84,0.0,0.0007520638270785259,0.06,0.0007520638270785259
USAVARS_TC,5_fixedstrata_10ppc_2000_size,cluster_based_c1_10_c2_20,1000,2000,10.0,0.78,0.0,0.0,0.81,0.01,0.0030180125910936697,0.03,0.0030180125910936697,0.84,0.0,0.0010901376059929422,0.06,0.0010901376059929424
