dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,initial_mse_mean,initial_mse_std,initial_mse_se,initial_rmse_mean,initial_rmse_std,initial_rmse_se,initial_mae_mean,initial_mae_std,initial_mae_se,random_updated_r2_mean,random_updated_r2_std,random_updated_r2_se,random_delta_r2_mean,random_delta_r2_se,poprisk_urban_rural_0.5_updated_r2_mean,poprisk_urban_rural_0.5_updated_r2_std,poprisk_urban_rural_0.5_updated_r2_se,poprisk_urban_rural_0.5_delta_r2_mean,poprisk_urban_rural_0.5_delta_r2_se,poprisk_states_0.5_updated_r2_mean,poprisk_states_0.5_updated_r2_std,poprisk_states_0.5_updated_r2_se,poprisk_states_0.5_delta_r2_mean,poprisk_states_0.5_delta_r2_se,poprisk_states_0.5_updated_mse_mean,poprisk_states_0.5_updated_mse_std,poprisk_states_0.5_updated_mse_se,poprisk_states_0.5_delta_mse_mean,poprisk_states_0.5_delta_mse_se,poprisk_states_0.5_updated_rmse_mean,poprisk_states_0.5_updated_rmse_std,poprisk_states_0.5_updated_rmse_se,poprisk_states_0.5_delta_rmse_mean,poprisk_states_0.5_delta_rmse_se,poprisk_states_0.5_updated_mae_mean,poprisk_states_0.5_updated_mae_std,poprisk_states_0.5_updated_mae_se,poprisk_states_0.5_delta_mae_mean,poprisk_states_0.5_delta_mae_se
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,100,2000,10.0,0.11,0.0,6.938893903907228e-18,0.88,0.0,0.0,0.94,0.0,0.0,0.66,0.0,0.0,0.11,0.0,0.001999349894340658,0.0,0.001999349894340658,0.09,0.07,0.03742435837793348,-0.02,0.03742435837793348,0.13,0.07,0.035832284325730615,0.02,0.035832284325730615,0.87,0.07,0.035621642297906465,0.02,0.035621642297906465,0.93,0.04,0.01895266208214561,0.01,0.01895266208214561,0.65,0.01,0.003640521940601378,0.02,0.003640521940601378
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,200,2000,10.0,0.11,0.0,6.938893903907228e-18,0.88,0.0,0.0,0.94,0.0,0.0,0.66,0.0,0.0,0.12,0.0,0.0016195678435928502,0.0,0.0016195678435928502,0.15,0.02,0.01007854156115854,0.04,0.01007854156115854,0.12,0.06,0.03039337756814796,0.01,0.03039337756814796,0.87,0.06,0.030239186496994266,0.01,0.030239186496994266,0.93,0.03,0.016543318893136278,0.01,0.01654331889313628,0.65,0.01,0.0029517113680032976,0.01,0.0029517113680032976
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,300,2000,10.0,0.11,0.0,6.938893903907228e-18,0.88,0.0,0.0,0.94,0.0,0.0,0.66,0.0,0.0,0.12,0.0,0.0019417517864031967,0.0,0.0019417517864031967,0.14,0.06,0.031074095320700813,0.03,0.031074095320700813,0.12,0.1,0.04880404286532008,0.01,0.048804042865320085,0.87,0.1,0.04855733312281472,0.01,0.048557333122814725,0.93,0.05,0.026357871689497242,0.01,0.026357871689497242,0.64,0.01,0.004898264998956263,0.02,0.004898264998956263
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,400,2000,10.0,0.11,0.0,6.938893903907228e-18,0.88,0.0,0.0,0.94,0.0,0.0,0.66,0.0,0.0,0.12,0.0,0.0022071248265560337,0.0,0.0022071248265560337,0.18,0.02,0.012251775381551845,0.07,0.012251775381551845,0.12,0.07,0.033864001535553946,0.01,0.033864001535553946,0.87,0.07,0.033698655759540314,0.01,0.033698655759540314,0.93,0.04,0.018011923828397683,0.0,0.018011923828397683,0.65,0.01,0.005058221031153148,0.02,0.005058221031153148
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,500,2000,10.0,0.11,0.0,6.938893903907228e-18,0.88,0.0,0.0,0.94,0.0,0.0,0.66,0.0,0.0,0.12,0.01,0.005576970503777116,0.01,0.005576970503777116,0.17,0.03,0.01539851940934582,0.06,0.015398519409345822,0.19,0.08,0.03971555614617526,0.08,0.039715556146175265,0.8,0.08,0.03950498196430419,0.08,0.039504981964304194,0.9,0.04,0.0220612103022477,0.04,0.0220612103022477,0.63,0.01,0.003337424156441609,0.03,0.003337424156441609
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,600,2000,10.0,0.11,0.0,6.938893903907228e-18,0.88,0.0,0.0,0.94,0.0,0.0,0.66,0.0,0.0,0.13,0.01,0.0048057673684854954,0.02,0.0048057673684854954,0.18,0.04,0.018364460242544563,0.06,0.018364460242544567,0.12,0.04,0.020819980787695265,0.0,0.020819980787695265,0.88,0.04,0.02071249381412097,0.0,0.02071249381412097,0.94,0.02,0.011092276592296103,0.0,0.011092276592296103,0.63,0.0,0.0015182226450688979,0.03,0.0015182226450688979
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,700,2000,10.0,0.11,0.0,6.938893903907228e-18,0.88,0.0,0.0,0.94,0.0,0.0,0.66,0.0,0.0,0.13,0.01,0.004066693988979255,0.02,0.004066693988979254,0.17,0.03,0.015288472781805253,0.06,0.01528847278180525,0.29,0.03,0.012716784184690721,0.17,0.012716784184690723,0.71,0.03,0.012650098813843312,0.17,0.012650098813843314,0.84,0.01,0.007424755888243068,0.1,0.007424755888243068,0.62,0.0,0.001818075906006143,0.04,0.001818075906006143
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,800,2000,10.0,0.11,0.0,6.938893903907228e-18,0.88,0.0,0.0,0.94,0.0,0.0,0.66,0.0,0.0,0.12,0.03,0.01525376674792164,0.01,0.01525376674792164,0.17,0.07,0.03577527637908615,0.05,0.03577527637908615,0.26,0.05,0.025368996826835702,0.14,0.025368996826835705,0.74,0.05,0.02524278114630003,0.14,0.02524278114630003,0.86,0.03,0.014506598498614357,0.08,0.014506598498614357,0.62,0.0,0.0015841085821369724,0.05,0.0015841085821369722
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,900,2000,10.0,0.11,0.0,6.938893903907228e-18,0.88,0.0,0.0,0.94,0.0,0.0,0.66,0.0,0.0,0.14,0.01,0.006384559499292023,0.03,0.006384559499292023,0.19,0.03,0.013318310703689114,0.07,0.013318310703689112,0.25,0.05,0.025535418539745926,0.13,0.025535418539745926,0.75,0.05,0.0254068770217829,0.13,0.0254068770217829,0.87,0.03,0.014466983099457886,0.07,0.014466983099457882,0.62,0.0,0.0024597967395701584,0.05,0.002459796739570159
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,1000,2000,10.0,0.11,0.0,6.938893903907228e-18,0.88,0.0,0.0,0.94,0.0,0.0,0.66,0.0,0.0,0.14,0.01,0.006570205476238927,0.03,0.006570205476238926,0.2,0.04,0.02226631087540098,0.08,0.02226631087540098,0.25,0.1,0.04913744600607564,0.13,0.04913744600607564,0.75,0.1,0.04887589385371892,0.13,0.04887589385371892,0.86,0.05,0.027043361477449516,0.08,0.027043361477449516,0.61,0.0,0.0008298192574289998,0.05,0.0008298192574289996
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,1100,2000,10.0,0.11,0.0,6.938893903907228e-18,0.88,0.0,0.0,0.94,0.0,0.0,0.66,0.0,0.0,,,,,,,,,,,0.3,0.01,0.006274073636800895,0.19,0.006274073636800895,0.69,0.01,0.006240624968703064,0.19,0.006240624968703064,0.83,0.01,0.0037370576661325426,0.11,0.0037370576661325426,0.61,0.0,0.0010644247272588064,0.06,0.0010644247272588064
INDIA_SECC,10_state_district_desired_20ppc_2000_size,cluster_based_c1_20_c2_30,2000,2000,10.0,0.11,0.0,6.938893903907228e-18,,,,,,,,,,0.12,0.05,0.02649615821208803,0.01,0.026496158212088027,0.28,0.01,0.00609233945213167,0.17,0.00609233945213167,,,,,,,,,,,,,,,,,,,,
