dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,initial_r2_se,initial_mse_mean,initial_mse_std,initial_mse_se,initial_rmse_mean,initial_rmse_std,initial_rmse_se,initial_mae_mean,initial_mae_std,initial_mae_se,poprisk_image_clusters_3_0.5_updated_r2_mean,poprisk_image_clusters_3_0.5_updated_r2_std,poprisk_image_clusters_3_0.5_updated_r2_se,poprisk_image_clusters_3_0.5_delta_r2_mean,poprisk_image_clusters_3_0.5_delta_r2_se,poprisk_image_clusters_3_0.5_updated_mse_mean,poprisk_image_clusters_3_0.5_updated_mse_std,poprisk_image_clusters_3_0.5_updated_mse_se,poprisk_image_clusters_3_0.5_delta_mse_mean,poprisk_image_clusters_3_0.5_delta_mse_se,poprisk_image_clusters_3_0.5_updated_rmse_mean,poprisk_image_clusters_3_0.5_updated_rmse_std,poprisk_image_clusters_3_0.5_updated_rmse_se,poprisk_image_clusters_3_0.5_delta_rmse_mean,poprisk_image_clusters_3_0.5_delta_rmse_se,poprisk_image_clusters_3_0.5_updated_mae_mean,poprisk_image_clusters_3_0.5_updated_mae_std,poprisk_image_clusters_3_0.5_updated_mae_se,poprisk_image_clusters_3_0.5_delta_mae_mean,poprisk_image_clusters_3_0.5_delta_mae_se,default_updated_r2_mean,default_updated_r2_std,default_updated_r2_se,default_delta_r2_mean,default_delta_r2_se,default_updated_mse_mean,default_updated_mse_std,default_updated_mse_se,default_delta_mse_mean,default_delta_mse_se,default_updated_rmse_mean,default_updated_rmse_std,default_updated_rmse_se,default_delta_rmse_mean,default_delta_rmse_se,default_updated_mae_mean,default_updated_mae_std,default_updated_mae_se,default_delta_mae_mean,default_delta_mae_se
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,100,500,10.0,0.17,0.0,0.0,0.19,0.0,0.0,0.43,0.0,0.0,0.32,0.0,0.0,0.18,0.0,0.000987218314254756,0.01,0.000987218314254756,0.19,0.0,0.00022000000000000123,0.0,0.00022000000000000123,0.43,0.0,0.00026532998322842426,0.0,0.00026532998322842426,0.32,0.0,0.00022226110770892445,0.0,0.00022226110770892445,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,200,500,10.0,0.17,0.0,0.0,0.19,0.0,0.0,0.43,0.0,0.0,0.32,0.0,0.0,0.19,0.03,0.013054026198839956,0.02,0.013054026198839956,0.18,0.01,0.0029443165590676574,0.01,0.0029443165590676574,0.43,0.01,0.0034604334988553014,0.01,0.0034604334988553014,0.31,0.0,0.002400624918640975,0.01,0.0024006249186409754,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,300,500,10.0,0.17,0.0,0.0,0.19,0.0,0.0,0.43,0.0,0.0,0.32,0.0,0.0,0.16,0.07,0.03316811119132351,-0.01,0.03316811119132351,0.19,0.02,0.007503559155494145,-0.0,0.007503559155494145,0.44,0.02,0.00854584109377187,-0.0,0.00854584109377187,0.32,0.01,0.006230778442538301,-0.0,0.006230778442538301,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,400,500,10.0,0.17,0.0,0.0,0.19,0.0,0.0,0.43,0.0,0.0,0.32,0.0,0.0,0.22,0.02,0.010010174823648183,0.04,0.010010174823648183,0.18,0.0,0.0022712551595978794,0.01,0.0022712551595978794,0.42,0.01,0.002666345814030875,0.01,0.002666345814030875,0.31,0.0,0.002167809954770014,0.01,0.002167809954770014,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,500,500,10.0,0.17,0.0,0.0,0.19,0.0,0.0,0.43,0.0,0.0,0.32,0.0,0.0,0.21,0.02,0.00772596919486481,0.04,0.007725969194864812,0.18,0.0,0.0017428138167916844,0.01,0.0017428138167916846,0.42,0.0,0.0020529490982486662,0.01,0.0020529490982486662,0.31,0.0,0.0014666287873896387,0.01,0.0014666287873896387,0.13,0.0,0.0,-0.04000000000000001,0.0,0.2,0.0,0.0,-0.010000000000000009,0.0,0.44,0.0,2.7755575615628914e-17,-0.010000000000000009,2.7755575615628914e-17,0.33,0.0,0.0,-0.010000000000000009,0.0
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,600,500,10.0,0.17,0.0,0.0,0.19,0.0,0.0,0.43,0.0,0.0,0.32,0.0,0.0,0.22,0.02,0.0076712841167564634,0.05,0.0076712841167564634,0.18,0.0,0.001741149045888953,0.01,0.001741149045888953,0.42,0.0,0.0020667849428520563,0.01,0.0020667849428520563,0.31,0.0,0.0011280957406177925,0.01,0.0011280957406177925,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,700,500,10.0,0.17,0.0,0.0,0.19,0.0,0.0,0.43,0.0,0.0,0.32,0.0,0.0,0.2,0.05,0.027297113400504454,0.03,0.027297113400504454,0.18,0.01,0.006167933203269957,0.01,0.006167933203269957,0.42,0.01,0.007093419485692357,0.01,0.007093419485692355,0.31,0.01,0.006004714814210583,0.01,0.006004714814210583,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,800,500,10.0,0.17,0.0,0.0,0.19,0.0,0.0,0.43,0.0,0.0,0.32,0.0,0.0,0.24,0.01,0.004972182619333282,0.07,0.004972182619333282,0.17,0.0,0.0011324310133513625,0.02,0.0011324310133513625,0.42,0.0,0.0013651373557265253,0.02,0.0013651373557265253,0.31,0.0,0.0011547294055318747,0.02,0.0011547294055318747,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,900,500,10.0,0.17,0.0,0.0,0.19,0.0,0.0,0.43,0.0,0.0,0.32,0.0,0.0,0.24,0.01,0.005554313638965663,0.07,0.005554313638965663,0.17,0.0,0.0012712198865656556,0.01,0.0012712198865656556,0.42,0.0,0.0015143975699927607,0.02,0.0015143975699927607,0.31,0.0,0.0011249888888340228,0.02,0.0011249888888340228,,,,,,,,,,,,,,,,,,,,
TOGO_PH_H2O,2_strata_desired_25ppc_500_size,cluster_based_c1_25_c2_35,1000,500,10.0,0.17,0.0,0.0,0.19,0.0,0.0,0.43,0.0,0.0,0.32,0.0,0.0,0.24,0.0,0.0021976350925483517,0.07,0.0021976350925483517,0.17,0.0,0.0004939635614091388,0.02,0.0004939635614091388,0.41,0.0,0.0005953150426454843,0.02,0.0005953150426454843,0.3,0.0,0.0006289674077406526,0.02,0.0006289674077406526,0.14,0.0,0.0,-0.03,0.0,0.2,0.0,0.0,-0.010000000000000009,0.0,0.44,0.0,2.7755575615628914e-17,-0.010000000000000009,2.7755575615628914e-17,0.32,0.0,0.0,0.0,0.0
